id,stageTemplateId,stageNumber,tier,stageTitle,mistake,npcLine,tanakaStatus_mentalHealth,tanakaStatus_awarenessLevel,inputText,pattern,harassmentScore,problemClarityScore,dialogueScore,supportScore,status,matchedRiskWords,matchedGoodWords,tags,notes,annotator,annotatedAt
s2_t2_002,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,今回の報告漏れについて、次回から異常発見から30分以内に報告、自力対処前に必ず相談。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage2|t2,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s2_t2_003,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,報告はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage2|t2,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s2_t2_004,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,今回の報告漏れは問題です。今後は報告してように。,border,28,52,15,10,clear,,,border|stage2|t2,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s2_t2_005,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,何回言えばわかるんだ。報告もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage2|t2,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s2_t2_006,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,お前、報告すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage2|t2|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s2_t2_007,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,今回の報告漏れは許されません。トラブル放置は被害を拡大させます。今後は異常発見から30分以内に報告、自力対処前に必ず相談を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage2|t2,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s2_t2_008,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,報告漏れ、問題です。次回から異常発見から30分以内に報告、自力対処前に必ず相談。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage2|t2,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s2_t3_001,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,今回のデータ削除について確認させてください。共有資料の消失は業務に重大な影響があります。原因を教えてもらえますか。次回から削除前に確認ダイアログを必ず見る、復旧手順を確認してから操作。削除操作のダブルチェック手順。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage2|t3,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s2_t3_002,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,今回のデータ削除について、次回から削除前に確認ダイアログを必ず見る、復旧手順を確認してから操作。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage2|t3,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s2_t3_003,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,削除はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage2|t3,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s2_t3_004,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,今回のデータ削除は問題です。今後は削除に気をつけてように。,border,28,52,15,10,clear,,,border|stage2|t3,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s2_t3_005,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,何回言えばわかるんだ。削除もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage2|t3,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s2_t3_006,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,お前、削除すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage2|t3|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s2_t3_007,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,今回のデータ削除は許されません。共有資料の消失は業務に重大な影響があります。今後は削除前に確認ダイアログを必ず見る、復旧手順を確認してから操作を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage2|t3,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s2_t3_008,stage2,2,t3,データ全消し,田中が共有フォルダの重要資料を誤って削除した,復旧方法を調べます……本当にすみません……,75,40,データ削除、問題です。次回から削除前に確認ダイアログを必ず見る、復旧手順を確認してから操作。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage2|t3,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s2_t4_001,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,今回の予約解除ミスについて確認させてください。取引先の商談会場が消え、信用問題になりました。原因を教えてもらえますか。次回から予約変更前に関係者へ確認、カレンダー操作は必ずダブルチェック。カレンダー変更時の確認リスト。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage2|t4,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s2_t4_002,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,今回の予約解除ミスについて、次回から予約変更前に関係者へ確認、カレンダー操作は必ずダブルチェック。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage2|t4,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s2_t4_003,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,予約はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage2|t4,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s2_t4_004,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,今回の予約解除ミスは問題です。今後はカレンダー気をつけてように。,border,28,52,15,10,clear,,,border|stage2|t4,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s2_t4_005,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,何回言えばわかるんだ。予約もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage2|t4,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s2_t4_006,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,お前、予約すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage2|t4|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s2_t4_007,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,今回の予約解除ミスは許されません。取引先の商談会場が消え、信用問題になりました。今後は予約変更前に関係者へ確認、カレンダー操作は必ずダブルチェックを徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage2|t4,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s2_t4_008,stage2,2,t4,会議室占拠,田中が会議室を「今日は使わない」と誤って予約解除し、取引先の商談会場が消えた,カレンダー、見間違えました……もう終わりです……,75,40,予約解除ミス、問題です。次回から予約変更前に関係者へ確認、カレンダー操作は必ずダブルチェック。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage2|t4,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s3_t1_001,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,今回の未提出について確認させてください。期限未提出はチーム全体のスケジュールに影響します。原因を教えてもらえますか。次回から期限3日前中間報告、前日完成確認、間に合わないときは早めに相談。期限管理カレンダーと中間チェック日。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage3|t1,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s3_t1_002,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,今回の未提出について、次回から期限3日前中間報告、前日完成確認、間に合わないときは早めに相談。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage3|t1,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s3_t1_003,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,期限はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage3|t1,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s3_t1_004,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,今回の未提出は問題です。今後は期限を守ってように。,border,28,52,15,10,clear,,,border|stage3|t1,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s3_t1_005,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,何回言えばわかるんだ。期限もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage3|t1,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s3_t1_006,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,お前、期限すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage3|t1|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s3_t1_007,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,今回の未提出は許されません。期限未提出はチーム全体のスケジュールに影響します。今後は期限3日前中間報告、前日完成確認、間に合わないときは早めに相談を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage3|t1,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s3_t1_008,stage3,3,t1,期限前提出,田中が期限前日に気づいたが、完成間に合わず未提出だった,時間管理を見直します……,75,40,未提出、問題です。次回から期限3日前中間報告、前日完成確認、間に合わないときは早めに相談。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage3|t1,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s3_t2_001,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,今回の同ミス再発について確認させてください。同じミスの繰り返しは品質リスクです。原因を教えてもらえますか。次回からチェックリストを見直し、該当箇所に目印を付け、確認者を1人置く。再発防止チェックリストの更新。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage3|t2,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s3_t2_002,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,今回の同ミス再発について、次回からチェックリストを見直し、該当箇所に目印を付け、確認者を1人置く。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage3|t2,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s3_t2_003,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,同じミスはダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage3|t2,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s3_t2_004,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,今回の同ミス再発は問題です。今後は同じミスするなように。,border,28,52,15,10,clear,,,border|stage3|t2,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s3_t2_005,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,何回言えばわかるんだ。同じミスもできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage3|t2,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s3_t2_006,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,お前、同じミスすらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage3|t2|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s3_t2_007,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,今回の同ミス再発は許されません。同じミスの繰り返しは品質リスクです。今後はチェックリストを見直し、該当箇所に目印を付け、確認者を1人置くを徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage3|t2,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s3_t2_008,stage3,3,t2,同じミス3連発,田中が先週指摘した入力ミスを、また同じ箇所で犯した,チェックリストを作ったのに……,75,40,同ミス再発、問題です。次回からチェックリストを見直し、該当箇所に目印を付け、確認者を1人置く。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage3|t2,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s3_t3_001,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,今回の社長室無断入室について確認させてください。権限外の場所への入室はセキュリティ上の問題です。原因を教えてもらえますか。次回から入室前に看板・案内を確認、不明な部屋は必ず事前に確認。オフィスマップの再確認。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage3|t3,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s3_t3_002,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,今回の社長室無断入室について、次回から入室前に看板・案内を確認、不明な部屋は必ず事前に確認。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage3|t3,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s3_t3_003,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,無断入室はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage3|t3,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s3_t3_004,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,今回の社長室無断入室は問題です。今後は勝手に入るなように。,border,28,52,15,10,clear,,,border|stage3|t3,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s3_t3_005,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,何回言えばわかるんだ。無断入室もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage3|t3,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s3_t3_006,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,お前、無断入室すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage3|t3|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s3_t3_007,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,今回の社長室無断入室は許されません。権限外の場所への入室はセキュリティ上の問題です。今後は入室前に看板・案内を確認、不明な部屋は必ず事前に確認を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage3|t3,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s3_t3_008,stage3,3,t3,社長室侵入,田中が社長室を「会議室」と勘違いし、無断で入ってコーヒーを淹れていた,看板、読めてませんでした……,75,40,社長室無断入室、問題です。次回から入室前に看板・案内を確認、不明な部屋は必ず事前に確認。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage3|t3,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s3_t4_001,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,今回のスリッパ事件について確認させてください。業務と無関係な私物への介入は職場ルール違反です。原因を教えてもらえますか。次回から私物・備品には触れない、業務手順書の範囲内で行動、不明点は事前確認。職場行動ルールの再確認。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage3|t4,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s3_t4_002,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,今回のスリッパ事件について、次回から私物・備品には触れない、業務手順書の範囲内で行動、不明点は事前確認。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage3|t4,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s3_t4_003,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,スリッパはダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage3|t4,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s3_t4_004,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,今回のスリッパ事件は問題です。今後は変なことするなように。,border,28,52,15,10,clear,,,border|stage3|t4,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s3_t4_005,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,何回言えばわかるんだ。スリッパもできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage3|t4,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s3_t4_006,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,お前、スリッパすらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage3|t4|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s3_t4_007,stage3,3,t4,スリッパ事件,田中が先輩のスリッパを「冷えないように」と懐で温めてロッカーにしまっていた,先輩が喜ぶと思って……（違います）,75,40,今回のスリッパ事件は許されません。業務と無関係な私物への介入は職場ルール違反です。今後は私物・備品には触れない、業務手順書の範囲内で行動、不明点は事前確認を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage3|t4,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
